x	y	mean_x	mean_y	log2FC	gene
seed_N	scCNASim-cs_N	0.0	0.0	0.0	1_29554_31109
seed_N	scCNASim-cs_N	0.0	0.0	0.0	1_34554_36081
seed_N	scCNASim-cs_N	0.0	0.0	0.0	1_65419_71585
seed_N	scCNASim-cs_N	0.11	0.12166666666666667	0.14543043952156395	1_89295_133723
seed_N	scCNASim-cs_N	0.0033333333333333335	0.0	-inf	1_139790_140339
seed_N	scCNASim-cs_N	0.0033333333333333335	0.0	-inf	1_160446_161525
seed_N	scCNASim-cs_N	0.011666666666666667	0.011666666666666667	0.0	1_358857_366052
seed_N	scCNASim-cs_N	0.11333333333333333	0.11833333333333333	0.06228427825434274	1_450703_451697
seed_N	scCNASim-cs_N	0.13	0.12	-0.11547721741993607	1_587629_594768
seed_N	scCNASim-cs_N	0.5116666666666667	0.5283333333333333	0.04624418476922757	1_685679_686673
seed_N	scCNASim-cs_N	0.475	0.4533333333333333	-0.06735526780176465	1_760911_761989
seed_N	scCNASim-cs_N	0.5333333333333333	0.5983333333333334	0.16591193893568923	1_778770_810060
seed_N	scCNASim-cs_N	0.3883333333333333	0.375	-0.05040495343724305	1_817371_819837
seed_N	scCNASim-cs_N	0.3883333333333333	0.3883333333333333	0.0	1_826206_827522
seed_N	scCNASim-cs_N	0.36	0.3416666666666667	-0.07540740265802233	1_868071_876903
seed_N	scCNASim-cs_N	0.021666666666666667	0.016666666666666666	-0.37851162325372995	1_904834_915976
seed_N	scCNASim-cs_N	0.028333333333333332	0.02	-0.5025003405291831	1_916865_921016
seed_N	scCNASim-cs_N	0.3383333333333333	0.36333333333333334	0.10284840759175015	1_923928_959309
seed_N	scCNASim-cs_N	0.04666666666666667	0.06	0.3625700793847081	1_960587_965715
seed_N	scCNASim-cs_N	0.015	0.008333333333333333	-0.84799690655495	1_966497_982093
seed_N	scCNASim-cs_N	0.035	0.05	0.5145731728297582	1_995966_998051
seed_N	scCNASim-cs_N	0.13	0.10333333333333333	-0.33120590847537323	1_998962_1000172
seed_N	scCNASim-cs_N	0.525	0.495	-0.08488889758651304	1_1001138_1014541
seed_N	scCNASim-cs_N	0.44333333333333336	0.455	0.03747470541866296	1_1020123_1056118
seed_N	scCNASim-cs_N	0.011666666666666667	0.016666666666666666	0.514573172829758	1_1062208_1063288
