x	y	mean_x	mean_y	log2FC	gene
scdrs_N	scdrs_T	0.28166667	0.29666665	0.0748539	1_0_29554
scdrs_N	scdrs_T	0.0	0.0	0.0	1_31109_34554
scdrs_N	scdrs_T	0.0	0.0	0.0	1_36081_65419
scdrs_N	scdrs_T	0.0	0.0	0.0	1_71585_89295
scdrs_N	scdrs_T	0.08833333	0.07666667	-0.20435843	1_133723_139790
scdrs_N	scdrs_T	0.005	0.011666667	1.2223926	1_140339_160446
scdrs_N	scdrs_T	0.32166666	0.26833335	-0.26154009	1_161525_358857
scdrs_N	scdrs_T	0.03	0.035	0.22239253	1_366052_450703
scdrs_N	scdrs_T	0.175	0.14333333	-0.28798074	1_451697_587629
scdrs_N	scdrs_T	289.455	285.87833	-0.017937742	1_594768_685679
scdrs_N	scdrs_T	0.30333334	0.33	0.12156197	1_686673_760911
scdrs_N	scdrs_T	0.245	0.215	-0.1884451	1_761989_778770
scdrs_N	scdrs_T	0.18666667	0.185	-0.012939006	1_810060_817371
scdrs_N	scdrs_T	0.18166667	0.15666667	-0.21359555	1_819837_826206
scdrs_N	scdrs_T	0.21333334	0.23666666	0.14974712	1_827522_868071
scdrs_N	scdrs_T	0.145	0.155	0.09621537	1_876903_904834
scdrs_N	scdrs_T	0.006666667	0.008333334	0.32192808	1_915976_916865
scdrs_N	scdrs_T	0.005	0.0016666667	-1.5849625	1_921016_923928
scdrs_N	scdrs_T	0.0016666667	0.005	1.5849624	1_959309_960587
scdrs_N	scdrs_T	0.005	0.005	0.0	1_965715_966497
scdrs_N	scdrs_T	0.01	0.005	-1.0	1_982093_995966
scdrs_N	scdrs_T	0.01	0.008333334	-0.26303434	1_998051_998962
scdrs_N	scdrs_T	0.021666666	0.011666667	-0.8930847	1_1000172_1001138
scdrs_N	scdrs_T	0.008333334	0.0033333334	-1.3219281	1_1014541_1020123
scdrs_N	scdrs_T	0.021666666	0.01	-1.1154772	1_1056118_1062208
scdrs_N	scdrs_T	0.005	0.0033333334	-0.5849624	1_1063288_1070966
scdrs_N	scdrs_T	0.0033333334	0.011666667	1.8073549	1_1074307_1081818
scdrs_N	scdrs_T	0.011666667	0.0033333334	-1.8073548	1_1116361_1137017
scdrs_N	scdrs_T	0.005	0.0033333334	-0.5849624	1_1144056_1169357
scdrs_N	scdrs_T	0.01	0.0033333334	-1.5849625	1_1170343_1173056
scdrs_N	scdrs_T	0.005	0.0016666667	-1.5849625	1_1197935_1203508
scdrs_N	scdrs_T	0.0033333334	0.005	0.5849624	1_1206691_1211326
scdrs_N	scdrs_T	0.021666666	0.026666667	0.29956034	1_1214138_1216908
scdrs_N	scdrs_T	0.0	0.008333334	inf	1_1232031_1232265
scdrs_N	scdrs_T	0.006666667	0.008333334	0.32192808	1_1235041_1242446
scdrs_N	scdrs_T	0.01	0.0	-inf	1_1246722_1249777
scdrs_N	scdrs_T	0.0	0.01	inf	1_1251334_1253909
scdrs_N	scdrs_T	0.0033333334	0.0033333334	0.0	1_1273885_1275223
scdrs_N	scdrs_T	0.005	0.0016666667	-1.5849625	1_1280420_1280436
scdrs_N	scdrs_T	0.008333334	0.005	-0.73696566	1_1292029_1292376
scdrs_N	scdrs_T	0.0	0.0016666667	inf	1_1324691_1324756
scdrs_N	scdrs_T	0.005	0.0016666667	-1.5849625	1_1328897_1331314
scdrs_N	scdrs_T	0.006666667	0.0033333334	-1.0	1_1349350_1352689
scdrs_N	scdrs_T	0.008333334	0.015	0.8479968	1_1361777_1373730
scdrs_N	scdrs_T	0.0033333334	0.008333334	1.321928	1_1375495_1385711
scdrs_N	scdrs_T	0.051666666	0.055	0.09019788	1_1399328_1401908
scdrs_N	scdrs_T	0.011666667	0.015	0.36257005	1_1407313_1409096
scdrs_N	scdrs_T	0.018333333	0.03	0.7104934	1_1410618_1418420
scdrs_N	scdrs_T	0.005	0.0033333334	-0.5849624	1_1422691_1426128
scdrs_N	scdrs_T	0.015	0.025	0.73696566	1_1427787_1430539
scdrs_N	scdrs_T	0.006666667	0.011666667	0.8073549	1_1434573_1434861
scdrs_N	scdrs_T	0.05	0.07	0.4854268	1_1442882_1449689
scdrs_N	scdrs_T	0.048333332	0.061666667	0.3514724	1_1470158_1471769
scdrs_N	scdrs_T	0.08833333	0.11	0.31647363	1_1497848_1512151
scdrs_N	scdrs_T	0.06666667	0.06333333	-0.074000694	1_1534687_1535174
scdrs_N	scdrs_T	0.13	0.1	-0.3785116	1_1540453_1541673
scdrs_N	scdrs_T	0.048333332	0.046666667	-0.050626013	1_1574869_1574975
