group	feature	mean	var	cv	zero_prop
scdrs_N	1_0_29554	0.28166667	0.33899632	2.0671027	0.77
scdrs_N	1_31109_34554	0.0	0.0	0.0	1.0
scdrs_N	1_36081_65419	0.0	0.0	0.0	1.0
scdrs_N	1_71585_89295	0.0	0.0	0.0	1.0
scdrs_N	1_133723_139790	0.08833333	0.083863325	3.2783961	0.9133333333333333
scdrs_N	1_140339_160446	0.005	0.0049750237	14.1067705	0.995
scdrs_N	1_161525_358857	0.32166666	0.39486364	1.9535185	0.75
scdrs_N	1_366052_450703	0.03	0.029100081	5.686249	0.97
scdrs_N	1_451697_587629	0.175	0.1710414	2.3632658	0.8383333333333334
scdrs_N	1_594768_685679	289.455	14122.943	0.41056466	0.0
scdrs_N	1_686673_760911	0.30333334	0.2946556	1.7895226	0.735
scdrs_N	1_761989_778770	0.245	0.27164266	2.1273203	0.7933333333333333
scdrs_N	1_810060_817371	0.18666667	0.20515531	2.4264681	0.8366666666666667
scdrs_N	1_819837_826206	0.18166667	0.17866436	2.3267176	0.8333333333333334
scdrs_N	1_827522_868071	0.21333334	0.19782118	2.0848637	0.8016666666666666
scdrs_N	1_876903_904834	0.145	0.13397582	2.524325	0.86
scdrs_N	1_915976_916865	0.006666667	0.006622148	12.206487	0.9933333333333333
scdrs_N	1_921016_923928	0.005	0.004975025	14.106771	0.995
scdrs_N	1_959309_960587	0.0016666667	0.0016639015	24.474567	0.9983333333333333
scdrs_N	1_965715_966497	0.005	0.004974995	14.106729	0.995
scdrs_N	1_982093_995966	0.01	0.009899988	9.949868	0.99
scdrs_N	1_998051_998962	0.01	0.013233329	11.503621	0.9916666666666667
scdrs_N	1_1000172_1001138	0.021666666	0.021197043	6.719633	0.9783333333333334
scdrs_N	1_1014541_1020123	0.008333334	0.008263862	10.908693	0.9916666666666667
scdrs_N	1_1056118_1062208	0.021666666	0.021197049	6.7196336	0.9783333333333334
scdrs_N	1_1063288_1070966	0.005	0.0049749943	14.106729	0.995
scdrs_N	1_1074307_1081818	0.0033333334	0.003322206	17.291574	0.9966666666666667
scdrs_N	1_1116361_1137017	0.011666667	0.011530505	9.204016	0.9883333333333333
scdrs_N	1_1144056_1169357	0.005	0.0049750293	14.106777	0.995
scdrs_N	1_1170343_1173056	0.01	0.009899964	9.949857	0.99
scdrs_N	1_1197935_1203508	0.005	0.0049750027	14.10674	0.995
scdrs_N	1_1206691_1211326	0.0033333334	0.0033222127	17.291592	0.9966666666666667
scdrs_N	1_1214138_1216908	0.021666666	0.021197094	6.7196407	0.9783333333333334
scdrs_N	1_1232031_1232265	0.0	0.0	0.0	1.0
scdrs_N	1_1235041_1242446	0.006666667	0.0066222325	12.206565	0.9933333333333333
scdrs_N	1_1246722_1249777	0.01	0.009900001	9.949875	0.99
scdrs_N	1_1251334_1253909	0.0	0.0	0.0	1.0
scdrs_N	1_1273885_1275223	0.0033333334	0.0033222097	17.291584	0.9966666666666667
scdrs_N	1_1280420_1280436	0.005	0.0049750335	14.106784	0.995
scdrs_N	1_1292029_1292376	0.008333334	0.008263864	10.908694	0.9916666666666667
scdrs_N	1_1324691_1324756	0.0	0.0	0.0	1.0
scdrs_N	1_1328897_1331314	0.005	0.004975019	14.106763	0.995
scdrs_N	1_1349350_1352689	0.006666667	0.006622218	12.206552	0.9933333333333333
scdrs_N	1_1361777_1373730	0.008333334	0.008263975	10.908769	0.9916666666666667
scdrs_N	1_1375495_1385711	0.0033333334	0.0033222055	17.291573	0.9966666666666667
scdrs_N	1_1399328_1401908	0.051666666	0.052330814	4.4275994	0.95
scdrs_N	1_1407313_1409096	0.011666667	0.011530429	9.203986	0.9883333333333333
scdrs_N	1_1410618_1418420	0.018333333	0.017997151	7.3174615	0.9816666666666667
scdrs_N	1_1422691_1426128	0.005	0.0049750013	14.106739	0.995
scdrs_N	1_1427787_1430539	0.015	0.014775029	8.103505	0.985
scdrs_N	1_1434573_1434861	0.006666667	0.0066221706	12.206507	0.9933333333333333
scdrs_N	1_1442882_1449689	0.05	0.05083356	4.5092597	0.9516666666666667
scdrs_N	1_1470158_1471769	0.048333332	0.052664146	4.748001	0.955
scdrs_N	1_1497848_1512151	0.08833333	0.09052984	3.4062088	0.9166666666666666
scdrs_N	1_1534687_1535174	0.06666667	0.06888865	3.9369967	0.9366666666666666
scdrs_N	1_1540453_1541673	0.13	0.12976599	2.7710037	0.8783333333333333
scdrs_N	1_1574869_1574975	0.048333332	0.04933082	4.595285	0.9533333333333334
scdrs_N	1_1577075_1598012	0.065	0.06410838	3.8953283	0.9366666666666666
scdrs_N	1_1600096_1613758	0.061666667	0.061197598	4.0115914	0.94
scdrs_N	1_1630610_1632095	0.06	0.0630667	4.1855145	0.9433333333333334
scdrs_N	1_1659012_1659325	0.05	0.05416684	4.654754	0.9533333333333334
scdrs_N	1_1692728_1702730	0.5416667	0.63159543	1.4671934	0.615
scdrs_N	1_1724324_1724838	0.01	0.009899977	9.949863	0.99
scdrs_N	1_1745999_1751232	0.051666666	0.052330937	4.427604	0.95
scdrs_N	1_1780457_1785285	0.01	0.009899991	9.94987	0.99
scdrs_N	1_1891117_1891471	0.0016666667	0.0016639096	24.474627	0.9983333333333333
scdrs_N	1_1892658_1914827	0.026666667	0.025955718	6.0415416	0.9733333333333334
scdrs_N	1_1917296_1917590	0.005	0.004974998	14.106733	0.995
scdrs_N	1_1919273_1921951	0.0033333334	0.0033222015	17.291561	0.9966666666666667
scdrs_N	1_2003837_2013213	0.0	0.0	0.0	1.0
scdrs_N	1_2015530_2019298	0.0	0.0	0.0	1.0
scdrs_N	1_2030758_2049203	0.02	0.019599872	6.999977	0.98
scdrs_N	1_2050070_2050470	0.005	0.00497501	14.1067505	0.995
scdrs_N	1_2220738_2228695	0.01	0.0099000195	9.949884	0.99
scdrs_N	1_2310119_2321253	0.04	0.038400155	4.898989	0.96
scdrs_N	1_2391707_2391775	0.0	0.0	0.0	1.0
scdrs_N	1_2413797_2425980	0.0	0.0	0.0	1.0
scdrs_N	1_2505530_2508533	0.0033333334	0.0033222004	17.29156	0.9966666666666667
scdrs_N	1_2526628_2528745	0.0	0.0	0.0	1.0
scdrs_N	1_2547460_2549920	0.0	0.0	0.0	1.0
scdrs_N	1_2565382_2581560	0.02	0.019599877	6.9999785	0.98
scdrs_N	1_2584533_2586491	0.0	0.0	0.0	1.0
scdrs_N	1_2801717_2811850	0.0	0.0	0.0	1.0
scdrs_N	1_2812692_2814432	0.0	0.0	0.0	1.0
scdrs_N	1_2814998_2960658	0.0	0.0	0.0	1.0
scdrs_N	1_2968707_3021483	0.0	0.0	0.0	1.0
scdrs_N	1_3022903_3059615	0.0	0.0	0.0	1.0
scdrs_N	1_3068437_3069168	0.0	0.0	0.0	1.0
scdrs_N	1_3438621_3454426	0.0	0.0	0.0	1.0
scdrs_N	1_3481113_3487246	0.006666667	0.006622192	12.206528	0.9933333333333333
scdrs_N	1_3487627_3489920	0.016666668	0.016388956	7.6811614	0.9833333333333333
scdrs_N	1_3611495_3623190	0.0	0.0	0.0	1.0
scdrs_N	1_3624743_3625002	0.0	0.0	0.0	1.0
scdrs_N	1_3630127_3630767	0.05	0.05083358	4.5092607	0.9516666666666667
scdrs_N	1_3736201_3746460	0.018333333	0.017997151	7.3174615	0.9816666666666667
scdrs_N	1_3771645_3772761	0.005	0.0049749995	14.106736	0.995
scdrs_N	1_3775982_3778558	0.0	0.0	0.0	1.0
scdrs_N	1_3796504_3812081	0.006666667	0.0066222064	12.206541	0.9933333333333333
scdrs_N	1_3857214_3857267	0.0	0.0	0.0	1.0
scdrs_N	1_3885429_3889125	0.005	0.0049750153	14.106758	0.995
scdrs_N	1_3900293_3900372	0.0	0.0	0.0	1.0
scdrs_N	1_3917225_3940565	0.0	0.0	0.0	1.0
scdrs_N	1_3955262_3976133	0.0	0.0	0.0	1.0
scdrs_N	1_4012699_4012921	0.0	0.0	0.0	1.0
scdrs_N	1_4019508_4412027	0.005	0.004975003	14.10674	0.995
scdrs_N	1_4424689_4479131	0.0	0.0	0.0	1.0
scdrs_N	1_4484375_4551735	0.0	0.0	0.0	1.0
scdrs_N	1_4552145_4571481	0.0	0.0	0.0	1.0
scdrs_N	1_4594009_4654732	0.0	0.0	0.0	1.0
scdrs_N	1_4792534_4963954	0.005	0.004974999	14.106734	0.995
scdrs_N	1_4973298_4973381	0.0	0.0	0.0	1.0
scdrs_N	1_4981568_5086459	0.0	0.0	0.0	1.0
scdrs_N	1_5090899_5301928	0.0033333334	0.003322214	17.291594	0.9966666666666667
scdrs_N	1_5307394_5478736	0.0	0.0	0.0	1.0
scdrs_N	1_5494674_5561709	0.0	0.0	0.0	1.0
scdrs_N	1_5668295_5862811	0.005	0.0049750204	14.106766	0.995
scdrs_N	1_6101193_6101793	0.0	0.0	0.0	1.0
scdrs_N	1_6180123_6181269	0.0	0.0	0.0	1.0
scdrs_N	1_6235972_6236240	0.005	0.0049750027	14.10674	0.995
scdrs_N	1_6239444_6244192	0.005	0.004975025	14.106771	0.995
scdrs_N	1_6245578_6247346	0.005	0.0049750074	14.106747	0.995
scdrs_N	1_6260975_6264269	0.0016666667	0.0016639074	24.47461	0.9983333333333333
scdrs_N	1_6394391_6412418	0.0033333334	0.0033222085	17.29158	0.9966666666666667
scdrs_N	1_6424670_6424776	0.0	0.0	0.0	1.0
scdrs_N	1_6520061_6521347	0.005	0.0049750027	14.10674	0.995
scdrs_N	1_6554535_6555181	0.0033333334	0.003322202	17.291563	0.9966666666666667
scdrs_N	1_6579757_6580001	0.0016666667	0.0016638979	24.47454	0.9983333333333333
scdrs_N	1_6589280_6590724	0.01	0.009900026	9.949888	0.99
scdrs_N	1_6624033_6624866	0.008333334	0.008263895	10.908716	0.9916666666666667
scdrs_N	1_6701924_6724637	0.011666667	0.011530537	9.204029	0.9883333333333333
scdrs_N	1_6730012_6767954	0.01	0.009900015	9.949882	0.99
scdrs_N	1_6770038_6783892	0.005	0.0049750167	14.10676	0.995
scdrs_N	1_6784843_6785324	0.0	0.0	0.0	1.0
scdrs_N	1_7769706_7771269	0.0	0.0	0.0	1.0
scdrs_N	1_7781432_7784320	0.0033333334	0.003322203	17.291567	0.9966666666666667
scdrs_N	1_7853512_7915894	0.01	0.009900031	9.94989	0.99
scdrs_N	1_7943165_7954291	0.006666667	0.0066222	12.206535	0.9933333333333333
scdrs_N	1_7985505_7991134	0.01	0.009900069	9.949909	0.99
scdrs_N	1_8026308_8026738	0.035	0.04377493	5.9778457	0.9683333333333334
scdrs_N	1_8122702_8202429	0.016666668	0.016388966	7.6811633	0.9833333333333333
scdrs_N	1_8215210_8218190	0.005	0.0049750116	14.106752	0.995
scdrs_N	1_8220529_8317826	0.033333335	0.032222286	5.38517	0.9666666666666667
scdrs_N	1_8344167_8352397	0.0033333334	0.0033222036	17.291567	0.9966666666666667
scdrs_N	1_8817643_8861000	0.031666666	0.030663652	5.5298023	0.9683333333333334
scdrs_N	1_8879894_8945867	0.26166666	0.2598627	1.9481554	0.7716666666666666
scdrs_N	1_8975092_9003300	0.0	0.0	0.0	1.0
scdrs_N	1_9026345_9035107	0.0	0.0	0.0	1.0
scdrs_N	1_9088478_9100305	0.008333334	0.008263908	10.908724	0.9916666666666667
scdrs_N	1_9129170_9148011	0.0016666667	0.0016639034	24.47458	0.9983333333333333
scdrs_N	1_9198906_9234775	0.015	0.014775056	8.103513	0.985
scdrs_N	1_9271337_9292880	0.005	0.004974996	14.106731	0.995
scdrs_N	1_9369532_9421098	0.013333334	0.013155609	8.602343	0.9866666666666667
scdrs_N	1_9422862_9425094	0.0	0.0	0.0	1.0
scdrs_N	1_9440564_9501092	0.015	0.014775031	8.103506	0.985
scdrs_N	1_9503471_9539482	0.011666667	0.01153045	9.203994	0.9883333333333333
scdrs_N	1_9585179_9588922	0.0016666667	0.0016639015	24.474567	0.9983333333333333
scdrs_N	1_9614873_9651732	0.02	0.022933235	7.571862	0.9816666666666667
scdrs_N	1_9824526_9848276	0.005	0.0049750097	14.1067505	0.995
scdrs_N	1_9910336_9922113	0.011666667	0.011530553	9.204036	0.9883333333333333
scdrs_N	1_9943407_9943428	0.005	0.0049750046	14.106744	0.995
scdrs_N	1_9985501_9997206	0.015	0.014775028	8.103505	0.985
scdrs_N	1_10016020_10032832	0.015	0.024775026	10.49339	0.9883333333333333
scdrs_N	1_10181239_10210805	0.016666668	0.016388914	7.6811514	0.9833333333333333
scdrs_N	1_10381603_10381906	0.008333334	0.008263934	10.908742	0.9916666666666667
scdrs_N	1_10387150_10395416	0.031666666	0.033997107	5.822623	0.97
scdrs_N	1_10397432_10398592	0.023333333	0.02278896	6.46972	0.9766666666666667
scdrs_N	1_10420144_10429881	0.071666665	0.08653002	4.104556	0.9366666666666666
scdrs_N	1_10452153_10456522	0.015	0.014775046	8.10351	0.985
scdrs_N	1_10630758_10636604	0.011666667	0.011530487	9.204009	0.9883333333333333
scdrs_N	1_10796650_10946471	0.05	0.07083327	5.322904	0.9566666666666667
scdrs_N	1_10982037_11012344	0.033333335	0.032222565	5.3851933	0.9666666666666667
scdrs_N	1_11047233_11054584	0.021666666	0.02119705	6.7196336	0.9783333333333334
scdrs_N	1_11060024_11066618	0.01	0.009900037	9.949893	0.99
scdrs_N	1_11102100_11106535	0.011666667	0.011530455	9.203997	0.9883333333333333
scdrs_N	1_11262507_11273206	0.0033333334	0.0033222083	17.29158	0.9966666666666667
scdrs_N	1_11296049_11311734	0.0033333334	0.003322211	17.291588	0.9966666666666667
scdrs_N	1_11319093_11479166	0.0016666667	0.0016638967	24.474531	0.9983333333333333
scdrs_N	1_11537584_11609531	0.0033333334	0.0033222092	17.291582	0.9966666666666667
scdrs_N	1_11613355_11623558	0.0	0.0	0.0	1.0
scdrs_N	1_11663327_11664124	0.0	0.0	0.0	1.0
scdrs_N	1_11674354_11674480	0.005	0.004974999	14.106734	0.995
scdrs_N	1_11691650_11691729	0.0	0.0	0.0	1.0
scdrs_N	1_11725857_11736084	0.006666667	0.006622186	12.206522	0.9933333333333333
scdrs_N	1_11754802_11761787	0.005	0.0049750106	14.1067505	0.995
scdrs_N	1_11848345_11857464	0.0	0.0	0.0	1.0
scdrs_N	1_11858931_11919591	0.031666666	0.033997055	5.822618	0.97
scdrs_N	1_11926428_11934205	0.0033333334	0.003322201	17.291561	0.9966666666666667
scdrs_N	1_11975538_11980181	0.026666667	0.02595572	6.041542	0.9733333333333334
scdrs_N	1_12013514_12019466	0.006666667	0.006622239	12.206571	0.9933333333333333
scdrs_N	1_12032045_12063377	0.01	0.009900041	9.949895	0.99
scdrs_N	1_12144207_12167003	0.013333334	0.013155622	8.602347	0.9866666666666667
scdrs_N	1_12209228_12230032	0.01	0.009899971	9.949861	0.99
scdrs_N	1_12512047_12527724	0.026666667	0.025955621	6.0415306	0.9733333333333334
scdrs_N	1_12528420_12567910	0.15833333	0.16659793	2.5778787	0.8566666666666667
scdrs_N	1_12617731_12618900	0.011666667	0.01153044	9.203991	0.9883333333333333
scdrs_N	1_12619244_12644547	0.02	0.019599902	6.9999824	0.98
scdrs_N	1_12667086_12716115	0.01	0.009900062	9.949905	0.99
scdrs_N	1_12728759_12746215	0.0	0.0	0.0	1.0
scdrs_N	1_12763699_12774841	0.0	0.0	0.0	1.0
scdrs_N	1_12777906_12791397	0.0	0.0	0.0	1.0
scdrs_N	1_12796628_12822686	0.0016666667	0.0016639065	24.474604	0.9983333333333333
scdrs_N	1_12823159_12824605	0.0	0.0	0.0	1.0
scdrs_N	1_12831410_12847408	0.011666667	0.011530505	9.204016	0.9883333333333333
scdrs_N	1_12848725_12857086	0.0	0.0	0.0	1.0
scdrs_N	1_12861909_12879224	0.0033333334	0.0033222025	17.291565	0.9966666666666667
scdrs_N	1_12886201_12892896	0.285	0.3471072	2.0672212	0.77
scdrs_N	1_12898270_12916610	0.005	0.004975019	14.106763	0.995
scdrs_N	1_12920482_12938472	0.006666667	0.0066222134	12.206548	0.9933333333333333
scdrs_N	1_12947580_13049476	0.028333334	0.027530702	5.8561335	0.9716666666666667
scdrs_N	1_13056491_13060869	0.013333334	0.013155626	8.602348	0.9866666666666667
scdrs_N	1_13062229_13068677	0.0033333334	0.0033222036	17.291567	0.9966666666666667
scdrs_N	1_13077884_13115496	0.0016666667	0.001663902	24.47457	0.9983333333333333
scdrs_N	1_13116854_13146981	0.0016666667	0.0016639006	24.47456	0.9983333333333333
scdrs_N	1_13147460_13148905	0.005	0.004975005	14.106744	0.995
scdrs_N	1_13155961_13164586	0.0033333334	0.003322209	17.291582	0.9966666666666667
scdrs_N	1_13165467_13172455	0.01	0.009899981	9.949865	0.99
scdrs_N	1_13179464_13196330	0.018333333	0.017997215	7.3174744	0.9816666666666667
scdrs_N	1_13201409_13222705	0.008333334	0.008263883	10.908708	0.9916666666666667
scdrs_N	1_13226106_13254212	0.008333334	0.011597309	12.922895	0.9933333333333333
scdrs_N	1_13263314_13281035	0.008333334	0.008263878	10.908705	0.9916666666666667
scdrs_N	1_13285174_13303539	0.016666668	0.01638891	7.6811504	0.9833333333333333
scdrs_N	1_13308907_13315581	0.30166668	0.41399792	2.1329062	0.7766666666666666
scdrs_N	1_13322598_13324039	0.0033333334	0.003322204	17.291569	0.9966666666666667
scdrs_N	1_13324518_13342034	0.011666667	0.0115305185	9.204021	0.9883333333333333
scdrs_N	1_13347134_13369067	0.0033333334	0.003322198	17.291553	0.9966666666666667
scdrs_N	1_13371693_13389632	0.005	0.004975009	14.10675	0.995
scdrs_N	1_13392629_13410450	0.0	0.0	0.0	1.0
scdrs_N	1_13421328_13474977	0.015	0.014775025	8.103504	0.985
scdrs_N	1_13516270_13583465	0.0033333334	0.0033222092	17.291582	0.9966666666666667
scdrs_N	1_13617957_13657311	0.0033333334	0.0033222092	17.291582	0.9966666666666667
scdrs_N	1_13659910_13700198	0.006666667	0.0066221515	12.2064905	0.9933333333333333
scdrs_N	1_13825079_13892792	0.0016666667	0.0016639039	24.474585	0.9983333333333333
scdrs_N	1_15152464_15152532	0.0	0.0	0.0	1.0
scdrs_N	1_15220480_15247272	0.01	0.009900013	9.949881	0.99
scdrs_N	1_15400283_15402979	0.0033333334	0.0033222062	17.291574	0.9966666666666667
scdrs_N	1_15409433_15409895	0.0016666667	0.0016639093	24.474625	0.9983333333333333
scdrs_N	1_15430343_15438439	0.011666667	0.0115305185	9.204021	0.9883333333333333
scdrs_N	1_15449242_15456728	0.015	0.014775025	8.103504	0.985
scdrs_N	1_15526534_15526813	0.0033333334	0.003322205	17.29157	0.9966666666666667
scdrs_N	1_15603626_15617500	0.033333335	0.035555776	5.6568713	0.9683333333333334
scdrs_N	1_15669044_15682873	0.005	0.0049750097	14.1067505	0.995
scdrs_N	1_15683128_15684332	0.0033333334	0.0033221997	17.291557	0.9966666666666667
scdrs_N	1_15749896_15756607	0.023333333	0.022788955	6.4697194	0.9766666666666667
scdrs_N	1_15786594_15807169	0.026666667	0.02928908	6.4177694	0.975
scdrs_N	1_15809348_15834474	0.053333335	0.050488636	4.213064	0.9466666666666667
scdrs_N	1_15940460_15941869	0.005	0.004975014	14.106755	0.995
scdrs_N	1_15976132_16004236	0.0	0.0	0.0	1.0
scdrs_N	1_16008807_16014028	0.0016666667	0.0016639094	24.474625	0.9983333333333333
scdrs_N	1_16034050_16043736	0.0	0.0	0.0	1.0
scdrs_N	1_16057308_16057769	0.006666667	0.0066222	12.206535	0.9933333333333333
scdrs_N	1_16073632_16124337	0.0016666667	0.0016639021	24.474571	0.9983333333333333
scdrs_N	1_16157329_16159266	0.0016666667	0.001663899	24.474548	0.9983333333333333
scdrs_N	1_16161883_16197854	0.01	0.0099000195	9.949884	0.99
scdrs_N	1_16212609_16231700	0.051666666	0.05233085	4.427601	0.95
scdrs_N	1_16237162_16246839	1.0883334	1.3171962	1.0545406	0.385
scdrs_N	1_16352454_16352575	0.0016666667	0.0016639067	24.474606	0.9983333333333333
scdrs_N	1_16437424_16440672	0.006666667	0.006622181	12.206517	0.9933333333333333
scdrs_N	1_16460078_16460948	0.01	0.009900035	9.949892	0.99
scdrs_N	1_16468481_16514645	0.071666665	0.07319701	3.7751086	0.9316666666666666
scdrs_N	1_16515754_16520694	0.008333334	0.008263895	10.908716	0.9916666666666667
scdrs_N	1_16521796_16533886	0.01	0.009899977	9.949863	0.99
scdrs_N	1_16536172_16562319	0.016666668	0.01638892	7.6811523	0.9833333333333333
scdrs_N	1_16613562_16617391	0.03	0.03243346	6.003098	0.9716666666666667
scdrs_N	1_16617729_16656879	1.4166666	2.293057	1.0689065	0.33666666666666667
scdrs_N	1_16667524_16701546	0.26666668	0.28888848	2.0155628	0.7766666666666666
scdrs_N	1_16705594_16739938	0.015	0.014775019	8.103502	0.985
scdrs_N	1_16972979_16974502	0.0	0.0	0.0	1.0
scdrs_N	1_17011928_17018722	0.043333333	0.044788394	4.883831	0.9583333333333334
scdrs_N	1_17054170_17066761	0.0	0.0	0.0	1.0
scdrs_N	1_17119435_17189783	0.008333334	0.0082639195	10.908732	0.9916666666666667
scdrs_N	1_17201733_17205126	0.0	0.0	0.0	1.0
scdrs_N	1_17246005_17249098	0.0	0.0	0.0	1.0
scdrs_N	1_17284233_17308195	0.0016666667	0.0016638933	24.474506	0.9983333333333333
scdrs_N	1_17364004_17372196	0.0	0.0	0.0	1.0
scdrs_N	1_17401699_17406760	0.005	0.0049750116	14.106752	0.995
scdrs_N	1_17439724_17539835	0.04	0.04506678	5.307235	0.9633333333333334
scdrs_N	1_17697874_17717687	0.008333334	0.008263905	10.908722	0.9916666666666667
scdrs_N	1_17749978_17755313	0.0	0.0	0.0	1.0
scdrs_N	1_17827063_18015712	0.01	0.0099000195	9.949884	0.99
scdrs_N	1_18045612_18065657	0.0	0.0	0.0	1.0
scdrs_N	1_18074412_18107746	0.0	0.0	0.0	1.0
scdrs_N	1_18378483_18385829	0.0	0.0	0.0	1.0
scdrs_N	1_18388514_18480982	0.0033333334	0.0033221983	17.291553	0.9966666666666667
scdrs_N	1_18486126_18631006	0.006666667	0.0066222055	12.206539	0.9933333333333333
scdrs_N	1_18748866_18839599	0.0	0.0	0.0	1.0
scdrs_N	1_18956686_19074506	0.028333334	0.02753067	5.8561296	0.9716666666666667
scdrs_N	1_19210276_19210501	0.0033333334	0.003322199	17.291555	0.9966666666666667
scdrs_N	1_19260128_19282558	0.5	0.52666664	1.451436	0.615
scdrs_N	1_19289250_19303965	0.07333333	0.081289545	3.8879077	0.9333333333333333
scdrs_N	1_19312146_19312326	0.005	0.0049750004	14.106737	0.995
scdrs_N	1_19329300_19338776	0.045	0.04630845	4.7820883	0.9566666666666667
scdrs_N	1_19485539_19591802	0.021666666	0.02453035	7.228693	0.98
scdrs_N	1_19596832_19596977	0.008333334	0.008263883	10.908708	0.9916666666666667
scdrs_N	1_19658456_19665287	0.0016666667	0.0016638958	24.474525	0.9983333333333333
scdrs_N	1_19679562_19682213	0.0033333334	0.003322198	17.291553	0.9966666666666667
scdrs_N	1_19799945_19814029	0.006666667	0.006622208	12.206542	0.9933333333333333
scdrs_N	1_19819502_19882513	0.006666667	0.0066221952	12.206531	0.9933333333333333
scdrs_N	1_19912945_19920009	0.0	0.0	0.0	1.0
scdrs_N	1_19923617_19975431	0.01	0.013233336	11.503624	0.9916666666666667
scdrs_N	1_19980416_20028179	0.006666667	0.006622183	12.206519	0.9933333333333333
scdrs_N	1_20091190_20111939	0.0016666667	0.001663908	24.474613	0.9983333333333333
scdrs_N	1_20119566_20139326	0.0016666667	0.0016639051	24.474594	0.9983333333333333
scdrs_N	1_20150386_20154338	0.005	0.004975028	14.106776	0.995
scdrs_N	1_20160568_20161253	0.0	0.0	0.0	1.0
scdrs_N	1_20177424_20184242	0.0	0.0	0.0	1.0
scdrs_N	1_20196048_20243095	0.006666667	0.00995556	14.966632	0.995
