x	y	mean_x	mean_y	log2FC	gene
scdrs_N	scdrs_T	0.0	0.0	0.0	1_29554_31109
scdrs_N	scdrs_T	0.0	0.0	0.0	1_34554_36081
scdrs_N	scdrs_T	0.0	0.0	0.0	1_65419_71585
scdrs_N	scdrs_T	0.06	0.055	-0.12553085	1_89295_133723
scdrs_N	scdrs_T	0.0	0.0	0.0	1_139790_140339
scdrs_N	scdrs_T	0.0	0.0	0.0	1_160446_161525
scdrs_N	scdrs_T	0.005	0.016666668	1.7369657	1_358857_366052
scdrs_N	scdrs_T	0.053333335	0.053333335	0.0	1_450703_451697
scdrs_N	scdrs_T	0.05666667	0.051666666	-0.13326655	1_587629_594768
scdrs_N	scdrs_T	0.28333333	0.26166666	-0.114770226	1_685679_686673
scdrs_N	scdrs_T	0.235	0.26833335	0.19136561	1_760911_761989
scdrs_N	scdrs_T	0.29333332	0.255	-0.20204377	1_778770_810060
scdrs_N	scdrs_T	0.195	0.19666667	0.012278414	1_817371_819837
scdrs_N	scdrs_T	0.21666667	0.2	-0.115477204	1_826206_827522
scdrs_N	scdrs_T	0.17833333	0.175	-0.027221484	1_868071_876903
scdrs_N	scdrs_T	0.013333334	0.011666667	-0.19264509	1_904834_915976
scdrs_N	scdrs_T	0.011666667	0.026666667	1.1926452	1_916865_921016
scdrs_N	scdrs_T	0.17	0.18833333	0.14775366	1_923928_959309
scdrs_N	scdrs_T	0.013333334	0.018333333	0.4594315	1_960587_965715
scdrs_N	scdrs_T	0.0016666667	0.016666668	3.321928	1_966497_982093
scdrs_N	scdrs_T	0.018333333	0.013333334	-0.45943156	1_995966_998051
scdrs_N	scdrs_T	0.055	0.07666667	0.47916782	1_998962_1000172
scdrs_N	scdrs_T	0.22833334	0.30166668	0.4018139	1_1001138_1014541
scdrs_N	scdrs_T	0.17166667	0.22666667	0.4009624	1_1020123_1056118
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_1062208_1063288
scdrs_N	scdrs_T	0.006666667	0.006666667	0.0	1_1070966_1074307
scdrs_N	scdrs_T	0.08833333	0.075	-0.23606727	1_1081818_1116361
scdrs_N	scdrs_T	0.006666667	0.006666667	0.0	1_1137017_1144056
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_1169357_1170343
scdrs_N	scdrs_T	0.008333334	0.0033333334	-1.3219281	1_1173056_1197935
scdrs_N	scdrs_T	0.01	0.006666667	-0.5849624	1_1203508_1206691
scdrs_N	scdrs_T	0.021666666	0.023333333	0.10691527	1_1211326_1214138
scdrs_N	scdrs_T	0.80333334	0.8016667	-0.002996209	1_1216908_1232031
scdrs_N	scdrs_T	0.08	0.07833333	-0.030373618	1_1232265_1235041
scdrs_N	scdrs_T	0.013333334	0.01	-0.4150376	1_1242446_1246722
scdrs_N	scdrs_T	0.0016666667	0.0016666667	0.0	1_1249777_1251334
scdrs_N	scdrs_T	0.18166667	0.155	-0.22902556	1_1253909_1273885
scdrs_N	scdrs_T	0.008333334	0.005	-0.73696566	1_1275223_1280420
scdrs_N	scdrs_T	0.083333336	0.07833333	-0.08926734	1_1280436_1292029
scdrs_N	scdrs_T	0.47	0.43666667	-0.106128305	1_1292376_1324691
scdrs_N	scdrs_T	0.185	0.19833334	0.10040183	1_1324756_1328897
scdrs_N	scdrs_T	0.165	0.19833334	0.2654611	1_1331314_1349350
scdrs_N	scdrs_T	0.13833334	0.125	-0.14622074	1_1352689_1361777
scdrs_N	scdrs_T	0.77166665	0.7033333	-0.13376914	1_1373730_1375495
scdrs_N	scdrs_T	0.635	0.61	-0.057947323	1_1385711_1399328
scdrs_N	scdrs_T	0.91833335	0.93	0.018212745	1_1401908_1407313
scdrs_N	scdrs_T	0.03	0.026666667	-0.1699249	1_1409096_1410618
scdrs_N	scdrs_T	0.01	0.018333333	0.87446904	1_1418420_1422691
scdrs_N	scdrs_T	0.0033333334	0.01	1.5849624	1_1426128_1427787
scdrs_N	scdrs_T	0.01	0.015	0.5849625	1_1430539_1434573
scdrs_N	scdrs_T	0.18666667	0.19666667	0.07528818	1_1434861_1442882
scdrs_N	scdrs_T	0.14	0.1	-0.48542678	1_1449689_1470158
scdrs_N	scdrs_T	0.11333334	0.155	0.451696	1_1471769_1497848
scdrs_N	scdrs_T	0.28	0.27333334	-0.03476537	1_1512151_1534687
scdrs_N	scdrs_T	0.105	0.086666666	-0.27684018	1_1535174_1540453
scdrs_N	scdrs_T	0.745	0.74666667	0.003223822	1_1541673_1574869
scdrs_N	scdrs_T	0.05	0.05	0.0	1_1574975_1577075
