group	feature	mean	var	cv	zero_prop
scdrs_N	1_29554_31109	0.0	0.0	0.0	1.0
scdrs_N	1_34554_36081	0.0	0.0	0.0	1.0
scdrs_N	1_65419_71585	0.0	0.0	0.0	1.0
scdrs_N	1_89295_133723	0.06	0.06306662	4.185511	0.9433333333333334
scdrs_N	1_139790_140339	0.0	0.0	0.0	1.0
scdrs_N	1_160446_161525	0.0	0.0	0.0	1.0
scdrs_N	1_358857_366052	0.005	0.0049750125	14.106753	0.995
scdrs_N	1_450703_451697	0.053333335	0.05048861	4.2130632	0.9466666666666667
scdrs_N	1_587629_594768	0.05666667	0.060122572	4.3270416	0.9466666666666667
scdrs_N	1_685679_686673	0.28333333	0.30972147	1.9642103	0.7633333333333333
scdrs_N	1_760911_761989	0.235	0.24644053	2.1124587	0.7933333333333333
scdrs_N	1_778770_810060	0.29333332	0.2906216	1.8378181	0.7433333333333333
scdrs_N	1_817371_819837	0.195	0.21364169	2.3703277	0.8333333333333334
scdrs_N	1_826206_827522	0.21666667	0.22305499	2.179786	0.8083333333333333
scdrs_N	1_868071_876903	0.17833333	0.18652984	2.421819	0.84
scdrs_N	1_904834_915976	0.013333334	0.013155618	8.602345	0.9866666666666667
scdrs_N	1_916865_921016	0.011666667	0.011530454	9.203996	0.9883333333333333
scdrs_N	1_923928_959309	0.17	0.18443356	2.5262194	0.8516666666666667
scdrs_N	1_960587_965715	0.013333334	0.013155616	8.6023445	0.9866666666666667
scdrs_N	1_966497_982093	0.0016666667	0.0016639107	24.474634	0.9983333333333333
scdrs_N	1_995966_998051	0.018333333	0.021330547	7.966354	0.9833333333333333
scdrs_N	1_998962_1000172	0.055	0.051975038	4.1450973	0.945
scdrs_N	1_1001138_1014541	0.22833334	0.252865	2.2022927	0.8033333333333333
scdrs_N	1_1020123_1056118	0.17166667	0.18886472	2.531567	0.8483333333333334
scdrs_N	1_1062208_1063288	0.0033333334	0.003322205	17.29157	0.9966666666666667
scdrs_N	1_1070966_1074307	0.006666667	0.0066221775	12.206514	0.9933333333333333
scdrs_N	1_1081818_1116361	0.08833333	0.0938632	3.4683511	0.9183333333333333
scdrs_N	1_1137017_1144056	0.006666667	0.006622183	12.206519	0.9933333333333333
scdrs_N	1_1169357_1170343	0.006666667	0.006622149	12.206489	0.9933333333333333
scdrs_N	1_1173056_1197935	0.008333334	0.008263897	10.908717	0.9916666666666667
scdrs_N	1_1203508_1206691	0.01	0.009899994	9.949872	0.99
scdrs_N	1_1211326_1214138	0.021666666	0.021197118	6.7196445	0.9783333333333334
scdrs_N	1_1216908_1232031	0.80333334	1.1079875	1.3103027	0.51
scdrs_N	1_1232265_1235041	0.08	0.083600044	3.614209	0.925
scdrs_N	1_1242446_1246722	0.013333334	0.013155617	8.602345	0.9866666666666667
scdrs_N	1_1249777_1251334	0.0016666667	0.0016639109	24.474636	0.9983333333333333
scdrs_N	1_1253909_1273885	0.18166667	0.18533109	2.3697302	0.8316666666666667
scdrs_N	1_1275223_1280420	0.008333334	0.008263904	10.908721	0.9916666666666667
scdrs_N	1_1280436_1292029	0.083333336	0.07972161	3.3882017	0.9183333333333333
scdrs_N	1_1292376_1324691	0.47	0.54909927	1.576622	0.6516666666666666
scdrs_N	1_1324756_1328897	0.185	0.20077522	2.4220512	0.8366666666666667
scdrs_N	1_1331314_1349350	0.165	0.18110745	2.579195	0.855
scdrs_N	1_1352689_1361777	0.13833334	0.14919621	2.7922356	0.8766666666666667
scdrs_N	1_1373730_1375495	0.77166665	0.8861922	1.2199281	0.485
scdrs_N	1_1385711_1399328	0.635	0.76511216	1.3774912	0.565
scdrs_N	1_1401908_1407313	0.91833335	0.9716633	1.07339	0.4116666666666667
scdrs_N	1_1409096_1410618	0.03	0.029100103	5.686251	0.97
scdrs_N	1_1418420_1422691	0.01	0.009900015	9.949882	0.99
scdrs_N	1_1426128_1427787	0.0033333334	0.0033222185	17.291607	0.9966666666666667
scdrs_N	1_1430539_1434573	0.01	0.009899995	9.949872	0.99
scdrs_N	1_1434861_1442882	0.18666667	0.18182178	2.2843158	0.8283333333333334
scdrs_N	1_1449689_1470158	0.14	0.13706668	2.6444654	0.8683333333333333
scdrs_N	1_1471769_1497848	0.11333334	0.12048927	3.062785	0.895
scdrs_N	1_1512151_1534687	0.28	0.32826674	2.0462344	0.77
scdrs_N	1_1535174_1540453	0.105	0.123974726	3.3533378	0.9066666666666666
scdrs_N	1_1541673_1574869	0.745	0.76997423	1.1778278	0.48
scdrs_N	1_1574975_1577075	0.05	0.05416683	4.6547537	0.9533333333333334
scdrs_N	1_1598012_1600096	0.058333334	0.05826383	4.137926	0.9433333333333334
scdrs_N	1_1613758_1630610	0.33	0.37776703	1.8625076	0.7366666666666667
scdrs_N	1_1632095_1659012	0.49	0.5065677	1.4525218	0.6216666666666667
scdrs_N	1_1659325_1692728	0.15166667	0.14866388	2.5422168	0.8583333333333333
scdrs_N	1_1702730_1724324	0.29166666	0.30992988	1.9087319	0.7533333333333333
scdrs_N	1_1724838_1745999	0.11666667	0.12305537	3.0067928	0.8933333333333333
scdrs_N	1_1751232_1780457	0.47333333	0.4759536	1.4575224	0.6233333333333333
scdrs_N	1_1785285_1891117	0.48833334	0.57319695	1.5503707	0.635
scdrs_N	1_1891471_1892658	0.005	0.0049750246	14.106771	0.995
scdrs_N	1_1914827_1917296	0.0016666667	0.0016639081	24.474617	0.9983333333333333
scdrs_N	1_1917590_1919273	0.023333333	0.022788957	6.4697194	0.9766666666666667
scdrs_N	1_1921951_2003837	0.021666666	0.021197055	6.7196345	0.9783333333333334
scdrs_N	1_2013213_2015530	0.0	0.0	0.0	1.0
scdrs_N	1_2019298_2030758	0.005	0.004975019	14.106763	0.995
scdrs_N	1_2049203_2050070	0.0016666667	0.0016639121	24.474646	0.9983333333333333
scdrs_N	1_2050470_2220738	0.46833333	0.57232934	1.6153548	0.6616666666666666
scdrs_N	1_2228695_2310119	0.13833334	0.15919621	2.884294	0.88
scdrs_N	1_2321253_2391707	0.045	0.04297514	4.6067657	0.955
scdrs_N	1_2391775_2413797	0.99833333	1.3416599	1.1602341	0.43333333333333335
scdrs_N	1_2425980_2505530	0.04	0.03840019	4.898992	0.96
scdrs_N	1_2508533_2526628	0.026666667	0.025955664	6.0415354	0.9733333333333334
scdrs_N	1_2528745_2547460	0.016666668	0.016388942	7.6811576	0.9833333333333333
scdrs_N	1_2549920_2565382	0.38666666	0.4738201	1.780205	0.7
scdrs_N	1_2581560_2584533	0.0	0.0	0.0	1.0
scdrs_N	1_2586491_2801717	0.041666668	0.039930288	4.7958155	0.9583333333333334
scdrs_N	1_2811850_2812692	0.0	0.0	0.0	1.0
scdrs_N	1_2814432_2814998	0.0	0.0	0.0	1.0
scdrs_N	1_2960658_2968707	0.0	0.0	0.0	1.0
scdrs_N	1_3021483_3022903	0.0	0.0	0.0	1.0
scdrs_N	1_3059615_3068437	0.0016666667	0.001663912	24.474644	0.9983333333333333
scdrs_N	1_3069168_3438621	0.0033333334	0.003322207	17.291576	0.9966666666666667
scdrs_N	1_3454426_3481113	0.02	0.022933232	7.5718613	0.9816666666666667
scdrs_N	1_3487246_3487627	0.0033333334	0.0033222	17.29156	0.9966666666666667
scdrs_N	1_3489920_3611495	0.07666667	0.084122546	3.7831159	0.93
scdrs_N	1_3623190_3624743	0.0	0.0	0.0	1.0
scdrs_N	1_3625002_3630127	0.45333335	0.587821	1.6912385	0.675
scdrs_N	1_3630767_3736201	0.06333333	0.059322022	3.845702	0.9366666666666666
scdrs_N	1_3746460_3771645	0.006666667	0.006622201	12.206535	0.9933333333333333
scdrs_N	1_3772761_3775982	0.08	0.08360023	3.614213	0.925
scdrs_N	1_3778558_3796504	0.30333334	0.30132228	1.8096538	0.7383333333333333
scdrs_N	1_3812081_3857214	0.075	0.07604217	3.6767657	0.9283333333333333
scdrs_N	1_3857267_3885429	0.005	0.00497501	14.1067505	0.995
scdrs_N	1_3889125_3900293	0.045	0.056308486	5.273202	0.9616666666666667
scdrs_N	1_3900372_3917225	0.0033333334	0.003322205	17.29157	0.9966666666666667
scdrs_N	1_3940565_3955262	0.0	0.0	0.0	1.0
scdrs_N	1_3976133_4012699	0.0	0.0	0.0	1.0
scdrs_N	1_4012921_4019508	0.0	0.0	0.0	1.0
scdrs_N	1_4412027_4424689	0.0	0.0	0.0	1.0
scdrs_N	1_4479131_4484375	0.0	0.0	0.0	1.0
scdrs_N	1_4551735_4552145	0.0	0.0	0.0	1.0
scdrs_N	1_4571481_4594009	0.0	0.0	0.0	1.0
scdrs_N	1_4654732_4792534	0.0	0.0	0.0	1.0
scdrs_N	1_4963954_4973298	0.0	0.0	0.0	1.0
scdrs_N	1_4973381_4981568	0.0	0.0	0.0	1.0
scdrs_N	1_5086459_5090899	0.0	0.0	0.0	1.0
scdrs_N	1_5301928_5307394	0.0	0.0	0.0	1.0
scdrs_N	1_5478736_5494674	0.0	0.0	0.0	1.0
scdrs_N	1_5561709_5668295	0.0033333334	0.0033222048	17.29157	0.9966666666666667
