feature	SpaceRanger	stCNASim-afc	STARsolo
MIR1302-2HG	0.0	0.0	0.0
FAM138A	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0
AL627309.1	0.0016666667070239782	0.0016666666666666668	0.0033333333333333335
AL627309.3	0.0	0.0	0.0
AL627309.2	0.0	0.0	0.0
AL627309.4	0.0	0.0	0.0
AL732372.1	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0
AC114498.1	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0
AL669831.2	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AL669831.5	0.04333333298563957	0.043333333333333335	0.045
FAM87B	0.0	0.0	0.0
LINC00115	0.019999999552965164	0.02	0.02
FAM41C	0.004999999888241291	0.005	0.005
AL645608.7	0.0	0.0	0.0
AL645608.3	0.0	0.0	0.0
AL645608.5	0.0	0.0	0.0
AL645608.1	0.018333332613110542	0.018333333333333333	0.018333333333333333
SAMD11	0.05166666582226753	0.051666666666666666	0.06166666666666667
NOC2L	0.23666666448116302	0.23666666666666666	0.25833333333333336
KLHL17	0.03333333507180214	0.03333333333333333	0.03666666666666667
PLEKHN1	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
PERM1	0.0	0.0	0.0
AL645608.8	0.02500000037252903	0.025	0.02666666666666667
HES4	0.10499999672174454	0.105	0.12166666666666667
ISG15	0.4483333230018616	0.4483333333333333	0.4866666666666667
AL645608.2	0.0	0.0	0.0
AGRN	0.3933333456516266	0.3933333333333333	0.43
AL645608.9	0.0	0.0	0.0
RNF223	0.0	0.0	0.0
C1orf159	0.10499999672174454	0.105	0.11166666666666666
LINC01342	0.0	0.0	0.0
AL390719.2	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
TTLL10-AS1	0.0	0.0	0.0
TTLL10	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
TNFRSF18	0.014999999664723873	0.015	0.015
TNFRSF4	0.018333332613110542	0.018333333333333333	0.025
SDF4	1.475000023841858	1.475	1.56
B3GALT6	0.11166666448116302	0.11166666666666666	0.115
C1QTNF12	0.014999999664723873	0.015	0.015
AL162741.1	0.0	0.0	0.0
UBE2J2	0.27666667103767395	0.27666666666666667	0.2966666666666667
LINC01786	0.0	0.0	0.0
SCNN1D	0.1366666704416275	0.13666666666666666	0.155
ACAP3	0.3616666793823242	0.3616666666666667	0.39
PUSL1	0.07666666805744171	0.07666666666666666	0.08
INTS11	0.351666659116745	0.3516666666666667	0.37333333333333335
CPTP	0.3100000023841858	0.31	0.3416666666666667
TAS1R3	0.004999999888241291	0.005	0.005
DVL1	0.2783333361148834	0.2783333333333333	0.30666666666666664
MXRA8	0.12833333015441895	0.12833333333333333	0.13166666666666665
