feature	cs_N	rs_N	cs_T	rs_T
MIR1302-2HG	0.0	0.0	0.0	0.0
FAM138A	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0
AL627309.1	0.0	0.0	0.0	0.0
AL627309.3	0.0	0.0	0.0	0.0
AL627309.2	0.0	0.0	0.0	0.0
AL627309.4	0.0	0.0	0.0	0.0
AL732372.1	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0
AC114498.1	0.0	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0	0.0
AL669831.2	0.0	0.0	0.0	0.0
AL669831.5	0.03333333333333333	0.03333333333333333	0.03666666666666667	0.03666666666666667
FAM87B	0.0	0.0	0.0	0.0
LINC00115	0.013333333333333334	0.013333333333333334	0.011666666666666667	0.011666666666666667
FAM41C	0.005	0.005	0.0033333333333333335	0.0033333333333333335
AL645608.7	0.0	0.0	0.0	0.0
AL645608.3	0.0	0.0	0.0	0.0
AL645608.5	0.0	0.0	0.0	0.0
AL645608.1	0.016666666666666666	0.016666666666666666	0.013333333333333334	0.013333333333333334
SAMD11	0.03833333333333333	0.03833333333333333	0.043333333333333335	0.043333333333333335
NOC2L	0.23666666666666666	0.23666666666666666	0.23	0.23
KLHL17	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.03333333333333333
PLEKHN1	0.0	0.0	0.0	0.0
PERM1	0.0	0.0	0.0	0.0
AL645608.8	0.02	0.02	0.013333333333333334	0.013333333333333334
HES4	0.10666666666666667	0.10666666666666667	0.10333333333333333	0.10333333333333333
ISG15	0.4633333333333333	0.4633333333333333	0.40166666666666667	0.40166666666666667
AL645608.2	0.0	0.0	0.0	0.0
AGRN	0.41833333333333333	0.41833333333333333	0.38666666666666666	0.38666666666666666
AL645608.9	0.0	0.0	0.0	0.0
RNF223	0.0	0.0	0.0	0.0
C1orf159	0.12	0.12	0.08833333333333333	0.08833333333333333
LINC01342	0.0	0.0	0.0	0.0
AL390719.2	0.0	0.0	0.0	0.0
TTLL10-AS1	0.0	0.0	0.0	0.0
TTLL10	0.0	0.0	0.0	0.0
