group	cutoff	label	percent
STARsolo_N	0.9	[0, 0.9)	22.369236489836393
STARsolo_N	0.99	[0.9, 0.99)	17.510535448686166
STARsolo_N	1.01	[0.99, 1]	60.12022806147744
stCNASim-afc_N	0.9	[0, 0.9)	22.37543381259296
stCNASim-afc_N	0.99	[0.9, 0.99)	17.510535448686163
stCNASim-afc_N	1.01	[0.99, 1]	60.11403073872088
STARsolo_T	0.9	[0, 0.9)	22.056271690629647
STARsolo_T	0.99	[0.9, 0.99)	17.739836390679226
STARsolo_T	1.01	[0.99, 1]	60.20389191869113
stCNASim-afc_T	0.9	[0, 0.9)	22.071764997521072
stCNASim-afc_T	0.99	[0.9, 0.99)	17.733639067922653
stCNASim-afc_T	1.01	[0.99, 1]	60.194595934556276
