tool	metric	value	run_id
CalicoST	accuracy	0.6847027388109552	1r1n2t
CopyKAT	accuracy	0.665998663994656	1r1n2t
InferCNV	accuracy	0.665998663994656	1r1n2t
Numbat	accuracy	0.995991983967936	1r1n2t
XClone	accuracy	0.6533066132264529	1r1n2t
CalicoST	precision	0.9398998330550918	1r1n2t
CopyKAT	precision	1.0	1r1n2t
InferCNV	precision	1.0	1r1n2t
Numbat	precision	0.996996996996997	1r1n2t
XClone	precision	0.98582995951417	1r1n2t
CalicoST	recall	0.5635635635635635	1r1n2t
CopyKAT	recall	0.4994994994994995	1r1n2t
InferCNV	recall	0.4994994994994995	1r1n2t
Numbat	recall	0.996996996996997	1r1n2t
XClone	recall	0.4874874874874875	1r1n2t
CalicoST	F1	0.704630788485607	1r1n2t
CopyKAT	F1	0.6662216288384513	1r1n2t
InferCNV	F1	0.6662216288384513	1r1n2t
Numbat	F1	0.996996996996997	1r1n2t
XClone	F1	0.652377762893503	1r1n2t
CalicoST	ARI	0.1320877954817002	1r1n2t
CopyKAT	ARI	0.0985279080990981	1r1n2t
InferCNV	ARI	0.0985279080990981	1r1n2t
Numbat	ARI	0.98382069849151	1r1n2t
XClone	ARI	0.0816380408658529	1r1n2t
