tool	metric	value	run_id
CopyKAT	accuracy	0.5135135135135135	n1
InferCNV	accuracy	0.8778778778778779	n1
Numbat	accuracy	0.991991991991992	n1
XClone	accuracy	0.4374374374374374	n1
CopyKAT	precision	0.5171568627450981	n1
InferCNV	precision	0.8552631578947368	n1
Numbat	precision	0.9861660079051384	n1
XClone	precision	0.427906976744186	n1
CopyKAT	recall	0.422	n1
InferCNV	recall	0.91	n1
Numbat	recall	0.998	n1
XClone	recall	0.368	n1
CopyKAT	F1	0.4647577092511013	n1
InferCNV	F1	0.8817829457364341	n1
Numbat	F1	0.9920477137176938	n1
XClone	F1	0.3956989247311828	n1
CopyKAT	ARI	-0.0002381838061902	n1
InferCNV	ARI	0.5707384600872533	n1
Numbat	ARI	0.9681926150333138	n1
XClone	ARI	0.0146881058969583	n1
CalicoST	accuracy	0.8149556400506971	n2
CopyKAT	accuracy	0.9429657794676806	n2
InferCNV	accuracy	0.9936628643852978	n2
Numbat	accuracy	1.0	n2
XClone	accuracy	0.8922686945500634	n2
CalicoST	precision	0.7159763313609467	n2
CopyKAT	precision	0.946927374301676	n2
InferCNV	precision	0.9945054945054944	n2
Numbat	precision	1.0	n2
XClone	precision	0.9666666666666668	n2
CalicoST	recall	0.9945205479452056	n2
CopyKAT	recall	0.9287671232876712	n2
InferCNV	recall	0.9917808219178084	n2
Numbat	recall	1.0	n2
XClone	recall	0.7945205479452054	n2
CalicoST	F1	0.8325688073394495	n2
CopyKAT	F1	0.9377593360995852	n2
InferCNV	F1	0.9931412894375856	n2
Numbat	F1	1.0	n2
XClone	F1	0.8721804511278195	n2
CalicoST	ARI	0.3958130309974669	n2
CopyKAT	ARI	0.7845949149800208	n2
InferCNV	ARI	0.974779615372757	n2
Numbat	ARI	1.0	n2
XClone	ARI	0.6149172895283627	n2
CalicoST	accuracy	0.9598796389167502	n4
CopyKAT	accuracy	0.9989969909729188	n4
InferCNV	accuracy	1.0	n4
Numbat	accuracy	1.0	n4
XClone	accuracy	0.9899699097291876	n4
CalicoST	precision	0.9289719626168224	n4
CopyKAT	precision	1.0	n4
InferCNV	precision	1.0	n4
Numbat	precision	1.0	n4
XClone	precision	0.9899799599198396	n4
CalicoST	recall	0.995991983967936	n4
CopyKAT	recall	0.997995991983968	n4
InferCNV	recall	1.0	n4
Numbat	recall	1.0	n4
XClone	recall	0.9899799599198396	n4
CalicoST	F1	0.9613152804642168	n4
CopyKAT	F1	0.9989969909729188	n4
InferCNV	F1	1.0	n4
Numbat	F1	1.0	n4
XClone	F1	0.9899799599198396	n4
CalicoST	ARI	0.8458031423494979	n4
CopyKAT	ARI	0.995987959855454	n4
InferCNV	ARI	1.0	n4
Numbat	ARI	1.0	n4
XClone	ARI	0.96024213230254	n4
